customers_id	orders_id	is_fraud	customers_age	days_0_2	days_3_10	days_11_30	georate	account_age	days_to_first_purchase	order_total	chat_pub	chat_pri	coop	buddy	buddy_received	friend	friend_recieved	creation	control_var
83310881	261658097	0	21.7726	9.99	14.98	69.93	0.7215	140	1	9.99	146	386	1072	603	536	670	938	134	0.494541084973
83337154	261138787	0	21.0521	39.597	0.0	183.492	0.2865	139	1	4.952	0	0	0	0	0	0	8	0	0.570701380314
83337154	261138469	0	21.0521	34.645	0.0	183.492	0.2865	139	1	4.952	0	0	0	0	0	0	8	0	0.0121972632811
83358997	261679968	0	20.0521	0.0	39.96	0.0	0.8637	139	44	9.99	5	100	196	735	882	784	882	0	0.431281188664
83358997	261680762	0	20.0521	9.99	39.96	0.0	0.8637	139	44	9.99	5	100	196	735	882	784	882	0	0.387158877252
83365820	261292856	1	21.0685	0.0	25.2	19.98	0.8441	139	1	7.5	0	7	33	0	0	0	132	0	0.673219313408
83365820	261303240	1	21.0685	0.0	25.2	19.98	0.8441	139	1	7.5	0	7	33	0	0	0	132	0	0.368337805581
83365820	261102548	1	21.0685	0.0	70.13	19.98	0.8441	139	1	9.99	0	7	33	0	0	0	132	0	0.89369278044
83365820	261102569	1	21.0685	0.0	70.13	19.98	0.8441	139	1	4.99	0	7	33	0	0	0	132	0	0.78735286222
83365820	261102562	1	21.0685	0.0	70.13	19.98	0.8441	139	1	6.99	0	7	33	0	0	0	132	0	0.478463049605
83418541	261198565	1	16.4219	0.0	18.24	74.92	0.7702	138	0	9.99	0	0	0	0	9	0	27	0	0.574956650535
83418541	261198634	1	16.4219	0.0	18.24	74.92	0.7702	138	0	4.99	0	0	0	0	9	0	27	0	0.436861483594
83418541	261404842	1	16.4219	0.0	18.24	79.91	0.7702	138	0	4.99	0	0	0	0	9	0	27	0	0.917052513174
83418541	261209379	1	16.4219	0.0	18.24	74.92	0.7702	138	0	4.99	0	0	0	0	9	0	27	0	0.892131599208
83466922	261145442	0	20.8548	0.0	0.0	0.0	0.28	137	4	9.99	2	6	0	0	0	0	0	0	0.928776325719
83466922	261704674	0	20.8548	0.0	0.0	19.99	0.28	137	4	9.99	2	6	0	0	0	0	0	0	0.422615490735
83466922	261145720	0	20.8548	9.99	0.0	0.0	0.28	137	4	9.99	2	6	0	0	0	0	0	0	0.442121563578
83513049	261466226	1	14.5233	0.0	95.33	101.28	0.8637	136	34	4.99	11	19	90	90	210	75	120	0	0.529783368162
83635092	261203690	1	20.3945	19.98	9.99	9.99	0.8192	134	1	9.99	197	451	144	104	112	112	144	128	0.747689723394
83819883	261434590	1	17.1425	0.0	9.99	56.93	0.8446	130	14	9.99	14	68	78	78	91	91	78	0	0.58252463539
83819883	261434848	1	17.1425	0.0	9.99	56.93	0.8446	130	14	6.99	14	68	78	78	91	91	78	0	0.798592086338
83824798	261459754	0	17.5096	0.0	0.0	29.94	0.28	130	1	4.99	0	0	0	5	0	0	5	0	0.367142071812
83824798	261461202	0	17.5096	4.99	0.0	29.94	0.28	130	1	9.99	0	0	0	5	0	0	5	0	0.367831824153
83891345	261120410	1	19.1753	9.99	49.93	0.0	0.86	128	0	9.99	3	0	30	0	0	0	30	0	0.322761346237
83891345	261120433	1	19.1753	9.99	49.93	0.0	0.86	128	0	9.99	3	0	30	0	0	0	30	0	0.69981510801
83891345	261120445	1	19.1753	9.99	49.93	0.0	0.86	128	0	6.99	3	0	30	0	0	0	30	0	0.61377473895
83891345	261120464	1	19.1753	9.99	49.93	0.0	0.86	128	0	9.99	3	0	30	0	0	0	30	0	0.714188452084
83942642	261413225	0	22.2219	2.233	0.0	6.566	0.28	128	25	1.12	63	144	1224	952	408	408	952	0	0.622672956806
83969387	261457252	0	15.3753	0.0	0.0	35.98	0.308	127	13	9.99	133	249	1079	1411	1411	1328	1494	0	0.356126146088
83969387	261026557	0	15.3753	0.0	0.0	35.98	0.308	127	13	7.0	133	249	1079	1411	1411	1328	1494	0	0.34323562843
83969387	261027033	0	15.3753	7.0	0.0	35.98	0.308	127	13	9.99	133	249	1079	1411	1411	1328	1494	0	0.627749141708
83969387	261457501	0	15.3753	9.99	0.0	35.98	0.308	127	13	9.99	133	249	1079	1411	1411	1328	1494	0	0.0767464294433
83999426	261701307	0	19.4356	0.0	0.0	11.98	0.308	127	12	9.99	83	192	490	441	392	441	539	0	0.629452166544
84085520	261092768	0	20.5589	0.0	0.0	9.99	0.28	125	6	9.99	1	2	1	2	4	2	2	0	0.671803205208
84211392	261690367	0	21.8521	0.0	8.74	0.0	0.8883	122	26	4.99	11	406	1037	1098	1037	1037	1098	0	0.749723477292
84211392	261220905	0	21.8521	0.0	8.74	0.0	0.8883	122	26	4.99	11	406	1037	1098	1037	1037	1098	0	0.206150029774
84211809	261200034	0	18.5507	9.905	7.346	0.0	0.28	122	28	9.905	3	5	30	45	45	60	105	0	0.964404339994
84211809	261199011	0	18.5507	0.0	7.346	0.0	0.28	122	28	9.905	3	5	30	45	45	60	105	0	0.666572361169
84211809	261491703	0	18.5507	29.564	7.346	0.0	0.28	122	28	9.754	3	5	30	45	45	60	105	0	0.208366973418
84211809	261490526	0	18.5507	19.81	7.346	0.0	0.28	122	28	9.754	3	5	30	45	45	60	105	0	0.242509327801
84269537	261387995	1	17.7288	0.0	47.46	39.96	0.9299	121	1	6.99	91	145	880	825	825	770	880	0	0.571511540469
84269537	261387932	1	17.7288	0.0	47.46	39.96	0.9299	121	1	9.99	91	145	880	825	825	770	880	0	0.297560475337
84269537	261388278	1	17.7288	0.0	47.46	39.96	0.9299	121	1	9.99	91	145	880	825	825	770	880	0	0.307984494464
84318031	261827379	0	20.5589	0.0	7.5	39.9	0.8864	120	2	9.99	312	135	252	182	224	238	252	0	0.184482105996
84320035	261416806	0	16.3342	0.0	0.855	6.591	0.28	120	0	1.12	9	32	175	175	70	105	140	0	0.607885436635
84320647	261472300	0	47.4493	19.659	0.0	0.0	0.28	120	30	9.754	2	0	0	0	0	0	0	0	0.218646228609
84320647	261469408	0	47.4493	9.905	0.0	0.0	0.28	120	30	9.754	2	0	0	0	0	0	0	0	0.886915759266
84424288	261018220	0	26.5534	0.0	9.99	39.93	0.505	117	3	9.99	1	2	5	5	15	0	5	0	0.00852755616616
84424288	261192813	0	26.5534	9.99	9.99	49.92	0.505	117	3	9.99	1	2	5	5	15	0	5	0	0.0860268947004
84501856	261223270	1	18.0082	0.0	57.72	0.0	0.7215	115	17	9.99	0	0	0	0	62	0	0	0	0.601138669697
84587794	261658711	0	17.2986	119.88	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.430418321686
84587794	261460238	0	17.2986	39.96	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.20532866704
84587794	261456530	0	17.2986	29.97	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.466504331286
84587794	261476698	0	17.2986	89.91	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.153897065195
84587794	261466555	0	17.2986	69.93	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.880565271991
84587794	261462908	0	17.2986	49.95	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.783101429256
84587794	261438961	0	17.2986	0.0	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.523480040731
84587794	261463328	0	17.2986	59.94	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.436964522716
84587794	261444945	0	17.2986	19.98	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.812939342466
84587794	261654299	0	17.2986	99.9	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.483569027734
84587794	261474110	0	17.2986	79.92	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.746814122164
84587794	261658442	0	17.2986	109.89	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.731930004659
84587794	261443422	0	17.2986	9.99	0.0	31.47	0.2865	113	8	9.99	39	76	1386	770	2618	1540	1540	0	0.826502857638
84590627	261233833	0	18.0795	0.0	41.911	241.274	0.28	113	0	8.953	30	96	248	124	62	62	124	0	0.254941369921
84591274	261229404	1	21.3123	0.0	0.0	66.45	0.7411	113	2	9.99	41	162	84	98	112	84	98	0	0.778330058631
84591274	261100680	1	21.3123	0.0	0.0	66.45	0.7411	113	2	9.99	41	162	84	98	112	84	98	0	0.561627899919
84591274	261228429	1	21.3123	0.0	0.0	66.45	0.7411	113	2	9.99	41	162	84	98	112	84	98	0	0.754641814918
84640556	261404627	0	20.8411	0.0	0.0	11.083	0.28	112	3	1.12	0	18	0	11	0	11	11	0	0.731487944818
84678551	261606944	1	21.6904	0.0	67.96	136.56	0.6099	111	0	4.99	113	125	315	168	21	0	378	315	0.904643092057
84715759	261437920	1	18.3836	0.0	4.99	24.96	0.8637	110	2	4.99	92	116	154	132	143	165	132	0	0.337893151833
84777602	261165069	1	38.1671	0.0	90.81	34.95	0.28	108	0	9.99	7	1	15	30	0	0	15	0	0.871106866298
84777602	261165149	1	38.1671	0.0	90.81	34.95	0.28	108	0	9.99	7	1	15	30	0	0	15	0	0.247683299602
84777602	261352554	1	38.1671	0.0	96.22	39.95	0.28	108	0	4.99	7	1	15	30	0	0	15	0	0.290674312923
84857212	261317200	1	20.3507	20.95	42.7	164.65	0.7702	106	3	4.99	19	82	72	84	24	24	108	0	0.0512888587177
84857212	261316438	1	20.3507	0.0	42.7	164.65	0.7702	106	3	9.99	19	82	72	84	24	24	108	0	0.538946554147
84857212	261315939	1	20.3507	0.0	42.7	164.65	0.7702	106	3	9.99	19	82	72	84	24	24	108	0	0.104958527721
84857212	261316201	1	20.3507	0.0	42.7	164.65	0.7702	106	3	9.99	19	82	72	84	24	24	108	0	0.258317424722
84869213	261124588	1	22.0027	0.0	70.95	0.0	0.7215	106	7	9.99	80	239	855	627	627	684	912	0	0.121645624046
84869213	261448755	1	22.0027	0.0	55.97	0.0	0.7215	106	7	9.99	80	239	855	627	627	684	912	0	0.765672192572
84869213	261051468	1	22.0027	0.0	70.95	0.0	0.7215	106	7	9.99	80	239	855	627	627	684	912	0	0.843589713746
84869213	261330570	1	22.0027	0.0	55.97	0.0	0.7215	106	7	9.99	80	239	855	627	627	684	912	0	0.11968088016
84869213	261050268	1	22.0027	0.0	70.95	0.0	0.7215	106	7	9.99	80	239	855	627	627	684	912	0	0.795286525641
84869213	261050313	1	22.0027	0.0	70.95	0.0	0.7215	106	7	9.99	80	239	855	627	627	684	912	0	0.522766709806
84893753	261074986	0	19.7589	0.0	44.7	0.0	0.8646	106	5	4.99	6	0	189	189	63	0	189	0	0.398305252262
84893753	261074820	1	19.7589	0.0	44.7	0.0	0.8646	106	5	6.99	6	0	189	189	63	0	189	0	0.680814177778
84893753	261074651	1	19.7589	0.0	44.7	0.0	0.8646	106	5	9.99	6	0	189	189	63	0	189	0	0.771105747181
84893753	261074682	1	19.7589	0.0	44.7	0.0	0.8646	106	5	9.99	6	0	189	189	63	0	189	0	0.0111368663293
84893753	261074697	1	19.7589	0.0	44.7	0.0	0.8646	106	5	9.99	6	0	189	189	63	0	189	0	0.371817147017
84895317	261776163	0	34.5534	6.99	4.99	0.0	0.86	106	14	4.99	276	73	708	472	472	472	708	0	0.441703281009
